Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_16_LoginToApp,Edge Chromium 122,,,03-03-2024 14:02:18,03-03-2024 14:02:47,29.687s,PASSED
,,,,,,,
Test Cases/PetStoreApp/TC_16_LoginToApp,Edge Chromium 122,,,03-03-2024 14:02:18,03-03-2024 14:02:47,29.338s,PASSED
"openBrowser("""")",Edge Chromium 122,,,03-03-2024 14:02:19,03-03-2024 14:02:26,7.855s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Edge Chromium 122,,,03-03-2024 14:02:26,03-03-2024 14:02:29,2.276s,PASSED
"verifyElementText(findTestObject(""Object Repository/LoginToApp/Page_JPetStore Demo/h2_Welcome to JPetStore 6""), ""Welcome to JPetStore 6"")",Edge Chromium 122,,,03-03-2024 14:02:29,03-03-2024 14:02:31,2.282s,PASSED
"click(findTestObject(""Object Repository/LoginToApp/Page_JPetStore Demo/a_Enter the Store""))",Edge Chromium 122,,,03-03-2024 14:02:31,03-03-2024 14:02:35,3.857s,PASSED
"verifyElementText(findTestObject(""Object Repository/LoginToApp/Page_JPetStore Demo/img""), """")",Edge Chromium 122,,,03-03-2024 14:02:35,03-03-2024 14:02:37,2.128s,PASSED
"click(findTestObject(""Object Repository/LoginToApp/Page_JPetStore Demo/a_Sign In""))",Edge Chromium 122,,,03-03-2024 14:02:37,03-03-2024 14:02:39,2.278s,PASSED
"setText(findTestObject(""Object Repository/LoginToApp/Page_JPetStore Demo/input_Need a user name and password_username""), ""bruvie"")",Edge Chromium 122,,,03-03-2024 14:02:39,03-03-2024 14:02:43,3.847s,PASSED
"setEncryptedText(findTestObject(""Object Repository/LoginToApp/Page_JPetStore Demo/input_Need a user name and password_password""), ""qPDWtMYEx+8="")",Edge Chromium 122,,,03-03-2024 14:02:43,03-03-2024 14:02:45,1.936s,PASSED
"click(findTestObject(""Object Repository/LoginToApp/Page_JPetStore Demo/p_UsernamesetTimeout(function()tryvar zdocu_90a06a""))",Edge Chromium 122,,,03-03-2024 14:02:45,03-03-2024 14:02:45,0.435s,PASSED
"setEncryptedText(findTestObject(""Object Repository/LoginToApp/Page_JPetStore Demo/input_Need a user name and password_password""), ""5Z9ySau9obQ="")",Edge Chromium 122,,,03-03-2024 14:02:45,03-03-2024 14:02:46,0.464s,PASSED
"click(findTestObject(""Object Repository/LoginToApp/Page_JPetStore Demo/input_Need a user name and password_signon""))",Edge Chromium 122,,,03-03-2024 14:02:46,03-03-2024 14:02:47,0.873s,PASSED
"verifyElementText(findTestObject(""Object Repository/LoginToApp/Page_JPetStore Demo/div_Welcome Bruvie""), ""Welcome Bruvie!"")",Edge Chromium 122,,,03-03-2024 14:02:47,03-03-2024 14:02:47,0.601s,PASSED
