Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_17_LoginAndPurchaseFish,Edge Chromium 122,,,03-03-2024 14:33:00,03-03-2024 14:33:53,52.532s,PASSED
,,,,,,,
Test Cases/PetStoreApp/TC_17_LoginAndPurchaseFish,Edge Chromium 122,,,03-03-2024 14:33:01,03-03-2024 14:33:53,52.147s,PASSED
"callTestCase(findTestCase(""PetStoreApp/TC_16_LoginToApp""), [:], STOP_ON_FAILURE)",Edge Chromium 122,,,03-03-2024 14:33:02,03-03-2024 14:33:34,32.522s,PASSED
"click(findTestObject(""Object Repository/LoginAndPurchaseFish/Page_JPetStore Demo/img""))",Edge Chromium 122,,,03-03-2024 14:33:34,03-03-2024 14:33:35,1.285s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH"")",Edge Chromium 122,,,03-03-2024 14:33:35,03-03-2024 14:33:36,0.361s,PASSED
"click(findTestObject(""Object Repository/LoginAndPurchaseFish/Page_JPetStore Demo/a_FI-FW-02""))",Edge Chromium 122,,,03-03-2024 14:33:36,03-03-2024 14:33:37,1.099s,PASSED
"click(findTestObject(""Object Repository/LoginAndPurchaseFish/Page_JPetStore Demo/a_Add to Cart""))",Edge Chromium 122,,,03-03-2024 14:33:37,03-03-2024 14:33:38,0.839s,PASSED
"setText(findTestObject(""Object Repository/LoginAndPurchaseFish/Page_JPetStore Demo/input_true_EST-20""), ""4"")",Edge Chromium 122,,,03-03-2024 14:33:38,03-03-2024 14:33:38,0.707s,PASSED
"click(findTestObject(""Object Repository/LoginAndPurchaseFish/Page_JPetStore Demo/input_Sub Total 5.50_updateCartQuantities""))",Edge Chromium 122,,,03-03-2024 14:33:38,03-03-2024 14:33:43,5.131s,PASSED
"click(findTestObject(""Object Repository/LoginAndPurchaseFish/Page_JPetStore Demo/a_Return to Main Menu""))",Edge Chromium 122,,,03-03-2024 14:33:43,03-03-2024 14:33:52,8.750s,PASSED
closeBrowser(),Edge Chromium 122,,,03-03-2024 14:33:52,03-03-2024 14:33:53,0.745s,PASSED
