Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_29_SwagLab_ItemDetailsView,Edge Chromium 122,,,09-03-2024 11:47:51,09-03-2024 11:48:32,41.065s,PASSED
,,,,,,,
Test Cases/SauceLabsApp/TC_29_ItemDetailsView,Edge Chromium 122,,,09-03-2024 11:47:51,09-03-2024 11:48:32,40.855s,PASSED
"callTestCase(findTestCase(""SauceLabsApp/TC_21_LoginWithValidUser""), [:], STOP_ON_FAILURE)",Edge Chromium 122,,,09-03-2024 11:47:52,09-03-2024 11:48:16,23.970s,PASSED
"click(findTestObject(""Object Repository/SwagLab_ItemDetailsView/Page_Swag Labs/div_Sauce Labs Backpack""))",Edge Chromium 122,,,09-03-2024 11:48:16,09-03-2024 11:48:18,2.124s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/SwagLab_ItemDetailsView/Page_Swag Labs/button_Add to cart""), 0)",Edge Chromium 122,,,09-03-2024 11:48:18,09-03-2024 11:48:20,1.889s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/SwagLab_ItemDetailsView/Page_Swag Labs/button_Back to products""))",Edge Chromium 122,,,09-03-2024 11:48:20,09-03-2024 11:48:22,2.066s,PASSED
"click(findTestObject(""Object Repository/SwagLab_ItemDetailsView/Page_Swag Labs/button_Back to products""))",Edge Chromium 122,,,09-03-2024 11:48:22,09-03-2024 11:48:24,2.096s,PASSED
"click(findTestObject(""Object Repository/SwagLab_ItemDetailsView/Page_Swag Labs/div_Sauce Labs Bike Light""))",Edge Chromium 122,,,09-03-2024 11:48:24,09-03-2024 11:48:26,1.910s,PASSED
"click(findTestObject(""Object Repository/SwagLab_ItemDetailsView/Page_Swag Labs/button_Add to cart_1""))",Edge Chromium 122,,,09-03-2024 11:48:26,09-03-2024 11:48:28,1.977s,PASSED
"click(findTestObject(""Object Repository/SwagLab_ItemDetailsView/Page_Swag Labs/button_Remove""))",Edge Chromium 122,,,09-03-2024 11:48:28,09-03-2024 11:48:30,1.978s,PASSED
"click(findTestObject(""Object Repository/SwagLab_ItemDetailsView/Page_Swag Labs/button_Back to products""))",Edge Chromium 122,,,09-03-2024 11:48:30,09-03-2024 11:48:32,2.086s,PASSED
closeBrowser(),Edge Chromium 122,,,09-03-2024 11:48:32,09-03-2024 11:48:32,0.427s,PASSED
