Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_32_VisualTesting_VerifyParrotImage,Edge Chromium 122,,,16-03-2024 11:35:53,16-03-2024 11:36:06,13.157s,PASSED
,,,,,,,
Test Cases/visualTesting/TC01_VerifyParrotImage,Edge Chromium 122,,,16-03-2024 11:35:53,16-03-2024 11:36:06,12.928s,PASSED
"openBrowser("""")",Edge Chromium 122,,,16-03-2024 11:35:54,16-03-2024 11:35:59,5.122s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Edge Chromium 122,,,16-03-2024 11:35:59,16-03-2024 11:36:01,1.764s,PASSED
"click(findTestObject(""Object Repository/ParrotVSTesting/Page_JPetStore Demo/a_Enter the Store""))",Edge Chromium 122,,,16-03-2024 11:36:01,16-03-2024 11:36:03,2.340s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/ParrotVSTesting/Page_JPetStore Demo/img""))",Edge Chromium 122,,,16-03-2024 11:36:03,16-03-2024 11:36:04,0.491s,PASSED
"takeScreenshotAsCheckpoint(""Parrot"", [])",Edge Chromium 122,,,16-03-2024 11:36:04,16-03-2024 11:36:05,1.222s,PASSED
"click(findTestObject(""Object Repository/ParrotVSTesting/Page_JPetStore Demo/a_Sign In""))",Edge Chromium 122,,,16-03-2024 11:36:05,16-03-2024 11:36:06,0.974s,PASSED
closeBrowser(),Edge Chromium 122,,,16-03-2024 11:36:06,16-03-2024 11:36:06,0.660s,PASSED
